session_id,session,session_date,side,breakout_time,breakout_side,reentry_time,confirmation_time,entry_time,entry_price,entry_reason,stop,tp_midpoint,tp_opposite_extreme,or_high,or_low,or_mid,or_size,daily_atr,daily_atr_pct,or_size_vs_daily_atr,or_size_vs_atr,gap_pct,opening_range_volume,opening_volume_vs_avg,invalid_signal_reason,tp_variant,tp,entry_fill,exit_time,exit_price,exit_fill,exit_reason,return,pnl_pct,rr,fee_rate,slippage_rate,bars_in_trade
ny_equity_2025-11-19,ny_equity,2025-11-19,short,2025-11-19 14:45:00+00:00,above,2025-11-19 16:05:00+00:00,2025-11-19 16:05:00+00:00,2025-11-19 16:10:00+00:00,600.05,breakout_reentry_v1,603.4264178571428,598.37995,596.14,600.6199,596.14,598.37995,4.479900000000043,11.226071428571434,0.01882589832230121,0.39906213215410924,0.39906213215410924,0.0012745048716273494,4079984.0,0.8925986425731033,,midpoint,598.37995,599.9899949999999,2025-11-19 16:25:00+00:00,598.37995,598.439787995,take_profit,0.002390414334237012,0.002390414334237012,0.4433259838198768,0.0001,0.0001,4
ny_equity_2025-11-19,ny_equity,2025-11-19,short,2025-11-19 14:45:00+00:00,above,2025-11-19 16:05:00+00:00,2025-11-19 16:05:00+00:00,2025-11-19 16:10:00+00:00,600.05,breakout_reentry_v1,603.4264178571428,598.37995,596.14,600.6199,596.14,598.37995,4.479900000000043,11.226071428571434,0.01882589832230121,0.39906213215410924,0.39906213215410924,0.0012745048716273494,4079984.0,0.8925986425731033,,opposite_extreme,596.14,599.9899949999999,2025-11-19 17:30:00+00:00,596.14,596.199614,take_profit,0.006157570369040611,0.006157570369040611,1.0839677413773434,0.0001,0.0001,17
ny_equity_2025-11-20,ny_equity,2025-11-20,short,2025-11-20 14:45:00+00:00,above,2025-11-20 15:55:00+00:00,2025-11-20 15:55:00+00:00,2025-11-20 16:00:00+00:00,610.49,breakout_reentry_v1,615.2175892857143,611.2049999999999,610.03,612.38,610.03,611.2049999999999,2.3500000000000227,11.350357142857149,0.018921361533094084,0.20704194329945755,0.20704194329945755,0.019587577308416825,6899527.0,1.4947802810492241,,midpoint,611.2049999999999,610.428951,2025-11-20 16:00:00+00:00,611.2049999999999,611.2661204999999,take_profit,-0.0015695663344063248,-0.0015695663344063248,-0.17260657221499712,0.0001,0.0001,1
ny_equity_2025-11-20,ny_equity,2025-11-20,short,2025-11-20 14:45:00+00:00,above,2025-11-20 15:55:00+00:00,2025-11-20 15:55:00+00:00,2025-11-20 16:00:00+00:00,610.49,breakout_reentry_v1,615.2175892857143,611.2049999999999,610.03,612.38,610.03,611.2049999999999,2.3500000000000227,11.350357142857149,0.018921361533094084,0.20704194329945755,0.20704194329945755,0.019587577308416825,6899527.0,1.4947802810492241,,opposite_extreme,610.03,610.428951,2025-11-20 16:00:00+00:00,610.03,610.091003,take_profit,0.00035393047649965334,0.00035393047649965334,0.06967770071283506,0.0001,0.0001,1
ny_equity_2025-11-21,ny_equity,2025-11-21,long,2025-11-21 14:45:00+00:00,below,2025-11-21 14:45:00+00:00,2025-11-21 14:45:00+00:00,2025-11-21 14:50:00+00:00,587.26,breakout_reentry_v1,583.0550892857143,587.81,589.35,589.35,586.27,587.81,3.080000000000041,12.859642857142855,0.021957147979481374,0.23950898436415463,0.23950898436415463,0.0030734031109670434,7222316.0,1.497857646059177,,midpoint,587.81,587.318726,2025-11-21 14:50:00+00:00,587.81,587.751219,take_profit,0.0005363855107185291,0.0005363855107185291,0.1000691304194194,0.0001,0.0001,1
ny_equity_2025-11-21,ny_equity,2025-11-21,long,2025-11-21 14:45:00+00:00,below,2025-11-21 14:45:00+00:00,2025-11-21 14:45:00+00:00,2025-11-21 14:50:00+00:00,587.26,breakout_reentry_v1,583.0550892857143,587.81,589.35,589.35,586.27,587.81,3.080000000000041,12.859642857142855,0.021957147979481374,0.23950898436415463,0.23950898436415463,0.0030734031109670434,7222316.0,1.497857646059177,,opposite_extreme,589.35,587.318726,2025-11-21 14:50:00+00:00,589.35,589.291065,take_profit,0.003158208946329544,0.003158208946329544,0.45635478174745125,0.0001,0.0001,1
ny_equity_2025-11-25,ny_equity,2025-11-25,long,2025-11-25 14:45:00+00:00,below,2025-11-25 15:40:00+00:00,2025-11-25 15:40:00+00:00,2025-11-25 15:45:00+00:00,603.23,breakout_reentry_v1,596.7223214285714,602.115,604.07,604.07,600.16,602.115,3.910000000000082,13.750714285714277,0.022722444123395927,0.2843488649940324,0.2843488649940324,-0.0027265516557604228,4983233.0,0.9874795214834178,,midpoint,602.115,603.2903230000001,2025-11-25 15:45:00+00:00,602.115,602.0547885,take_profit,-0.0022479932345941477,-0.0022479932345941477,-0.18642053556321447,0.0001,0.0001,1
ny_equity_2025-11-25,ny_equity,2025-11-25,long,2025-11-25 14:45:00+00:00,below,2025-11-25 15:40:00+00:00,2025-11-25 15:40:00+00:00,2025-11-25 15:45:00+00:00,603.23,breakout_reentry_v1,596.7223214285714,602.115,604.07,604.07,600.16,602.115,3.910000000000082,13.750714285714277,0.022722444123395927,0.2843488649940324,0.2843488649940324,-0.0027265516557604228,4983233.0,0.9874795214834178,,opposite_extreme,604.07,603.2903230000001,2025-11-25 16:20:00+00:00,604.07,604.0095930000001,take_profit,0.000992245213586851,0.000992245213586851,0.1085252565707826,0.0001,0.0001,8
ny_equity_2025-11-26,ny_equity,2025-11-26,short,2025-11-26 14:50:00+00:00,above,2025-11-26 14:55:00+00:00,2025-11-26 14:55:00+00:00,2025-11-26 15:00:00+00:00,611.15,breakout_reentry_v1,617.1610732142857,612.675,611.69,613.66,611.69,612.675,1.9699999999999136,14.004292857142843,0.022999709072480817,0.1406711513459333,0.1406711513459333,0.00594524462546602,3356966.0,0.6578288609825798,,midpoint,612.675,611.088885,2025-11-26 15:00:00+00:00,612.675,612.7362674999999,take_profit,-0.0028885669861217433,-0.0028885669861217433,-0.2685699700591853,0.0001,0.0001,1
ny_equity_2025-11-26,ny_equity,2025-11-26,short,2025-11-26 14:50:00+00:00,above,2025-11-26 14:55:00+00:00,2025-11-26 14:55:00+00:00,2025-11-26 15:00:00+00:00,611.15,breakout_reentry_v1,617.1610732142857,612.675,611.69,613.66,611.69,612.675,1.9699999999999136,14.004292857142843,0.022999709072480817,0.1406711513459333,0.1406711513459333,0.00594524462546602,3356966.0,0.6578288609825798,,opposite_extreme,611.69,611.088885,2025-11-26 15:00:00+00:00,611.69,611.751169,take_profit,-0.0012826035707992566,-0.0012826035707992566,-0.10797103529428313,0.0001,0.0001,1
